ContactID,FriendlyName,Text,StartTime,EndTime,Duration,EntityType,Description,RegulatoryCompliance,SpeakerID,SpeakerName
16363662,null,redactgen,144.5,145.4,0.9,null,null,null,1,Agent
16363662,null,redactgen,149.6,150.8,1.2,null,null,null,1,Agent
16363662,null,redactccback,196.4,197.4,1,null,null,null,1,Agent
16363662,null,redactccback,197.4,198,0.6,null,null,null,1,Agent
16363662,null,redactexp,207.5,207.7,0.2,null,null,null,1,Agent
16363662,null,redactcc,242.8,244.1,1.3,null,null,null,1,Agent
16363662,null,redactcc,377.1,377.7,0.6,null,null,null,1,Agent
16363662,null,redactcc,382.4,383.5,1.1,null,null,null,1,Agent
16363662,null,redactcc,383.5,384.2,0.7,null,null,null,1,Agent
16363662,null,redactcc,397.1,397.8,0.7,null,null,null,1,Agent
16363662,null,redactcc,398.8,400.1,1.3,null,null,null,1,Agent
16363662,null,redactcc,509,510.6,1.6,null,null,null,1,Agent
16363662,null,redactexp,565.9,566.1,0.2,null,null,null,1,Agent
16363662,null,redactexp,568.5,568.8,0.3,null,null,null,1,Agent
16363663,null,redactcc,163.9,164.5,0.6,null,null,null,1,Agent
16363663,null,redactcc,167.9,168.7,0.8,null,null,null,1,Agent
16363663,null,redactcc,195,195.8,0.8,null,null,null,1,Agent
16363663,null,redactcc,216.5,217.7,1.2,null,null,null,1,Agent
16363665,null,redactccback,174.8,176.1,1.3,null,null,null,1,Agent
16363665,null,redactcc,314.4,315.5,1.1,null,null,null,1,Agent
16363668,null,redactcvvwd,391.9,394.1,2.2,null,null,null,1,Agent
16363668,null,redactexp,395.9,396,0.1,null,null,null,1,Agent
16363668,null,redactcvvwd,418.6,427.3,8.7,null,null,null,1,Agent
16363668,null,redactexpwd,436.1,437.4,1.3,null,null,null,1,Agent
16363668,null,redactexp,444.3,445.2,0.9,null,null,null,1,Agent
16363668,null,redactexpwd,640.7,642.2,1.5,null,null,null,1,Agent
16363669,null,redactcc,148.8,151.3,2.5,null,null,null,1,Agent
