ContactID,StartTime,EndTime,Duration
16363578,04:44.3,05:01.6,00:17.3
16363578,05:07.1,05:10.3,00:03.2
16363578,05:13.1,05:22.7,00:09.6
16363578,05:35.3,05:46.3,0:00:11
16363578,06:01.8,06:05.1,00:03.3
16363578,06:14.4,06:17.4,0:00:03
16363578,07:04.9,07:09.9,0:00:05
16363578,07:15.1,08:43.6,01:28.5
16363579,0:00:00,01:41.2,01:41.2
16363579,01:58.5,02:37.3,00:38.8
16363579,02:50.3,02:55.3,0:00:05
16363579,03:01.4,03:04.7,00:03.3
16363579,03:24.1,03:34.9,00:10.8
16363579,0:03:55,0:03:58,0:00:03
16363579,03:59.7,04:04.5,00:04.8
16363579,04:16.4,0:04:28,00:11.6
16363579,07:10.3,09:28.8,02:18.5
16363581,0:00:00,00:03.9,00:03.9
16363581,04:39.1,04:42.3,00:03.2
16363581,08:28.1,08:32.4,00:04.3
16363582,0:00:00,00:59.9,00:59.9
16363582,01:00.1,01:06.2,00:06.1
16363582,01:06.6,01:12.5,00:05.9
